Vendor,Cable Zone,D of W,Time,Program Name,Rating P25+,Rating P35+,Rating W35+,Imp P25+,Imp W35+,Share P25+,PUT P25+,Share P35+,PUT P35+,Rate 1,Rate 2,Rate 3,Rate 4,Rate 5,Comments,Start Date,End Date
Suddenlink - Deridder 3175,,Mon-Sun,0400P-0700P,LIF,0.5,,0.7,,,,,,,,,,,3,,,
Suddenlink - Deridder 3175,,Mon-Sun,0400P-0700P,TBS,0.4,,0.2,,,,,,,,,,,4,,,
Suddenlink - Deridder 3175,,Mon-Sun,0400P-0700P,TLC,0.2,,0.3,,,,,,,,,,,2,,,
Suddenlink - Deridder 3175,,Mon-Sun,0400P-0700P,TNT,0.8,,0.9,,,,,,,,,,,4,,,
Suddenlink - Deridder 3175,,Mon-Sun,0400P-0700P,TWC,0.1,,0.3,,,,,,,,,,,3,,,
Suddenlink - Deridder 3175,,Mon-Sun,0400P-0700P,USA,0.9,,1,,,,,,,,,,,4,,,
Suddenlink - Deridder 3175,,Mon-Sun,0700P-1000P,AEN,0.6,,0.7,,,,,,,,,,,10,,,
Suddenlink - Deridder 3175,,Mon-Sun,0700P-1000P,BET,0.6,,0.8,,,,,,,,,,,4,,,
Suddenlink - Deridder 3175,,Mon-Sun,0700P-1000P,CNN,0.3,,0.3,,,,,,,,,,,8,,,
Suddenlink - Deridder 3175,,Mon-Sun,0700P-1000P,ESPN,1.2,,0.8,,,,,,,,,,,8,,,
Suddenlink - Deridder 3175,,Mon-Sun,0700P-1000P,FAM,0.3,,0.4,,,,,,,,,,,4,,,
Suddenlink - Deridder 3175,,Mon-Sun,0700P-1000P,FOOD,0.6,,1,,,,,,,,,,,4,,,
Suddenlink - Deridder 3175,,Mon-Sun,0700P-1000P,FXNC,1.5,,1.5,,,,,,,,,,,10,,,
Suddenlink - Deridder 3175,,Mon-Sun,0700P-1000P,HGTV,0.6,,0.9,,,,,,,,,,,5,,,
Suddenlink - Deridder 3175,,Mon-Sun,0700P-1000P,LIF,0.5,,0.8,,,,,,,,,,,6,,,
Suddenlink - Deridder 3175,,Mon-Sun,0700P-1000P,TBS,0.8,,0.7,,,,,,,,,,,8,,,
Suddenlink - Deridder 3175,,Mon-Sun,0700P-1000P,TLC,0.6,,0.9,,,,,,,,,,,5,,,
Suddenlink - Deridder 3175,,Mon-Sun,0700P-1000P,TNT,1.5,,0.9,,,,,,,,,,,8,,,
Suddenlink - Deridder 3175,,Mon-Sun,0700P-1000P,TWC,0.2,,0.2,,,,,,,,,,,5,,,
Suddenlink - Deridder 3175,,Mon-Sun,0700P-1000P,USA,1,,1,,,,,,,,,,,8,,,
Suddenlink - Deridder 3175,,Mon-Sun,1000P-1200A,AEN,0.3,,0.3,,,,,,,,,,,6,,,
Suddenlink - Deridder 3175,,Mon-Sun,1000P-1200A,BET,0.3,,0.4,,,,,,,,,,,2,,,
Suddenlink - Deridder 3175,,Mon-Sun,1000P-1200A,CNN,0.1,,0.1,,,,,,,,,,,2,,,
Suddenlink - Deridder 3175,,Mon-Sun,1000P-1200A,ESPN,0.6,,0.4,,,,,,,,,,,6,,,
Suddenlink - Deridder 3175,,Mon-Sun,1000P-1200A,FAM,0.1,,0.2,,,,,,,,,,,3,,,
Suddenlink - Deridder 3175,,Mon-Sun,1000P-1200A,FOOD,0.3,,0.5,,,,,,,,,,,2,,,
Suddenlink - Deridder 3175,,Mon-Sun,1000P-1200A,FXNC,0.7,,0.7,,,,,,,,,,,6,,,
Suddenlink - Deridder 3175,,Mon-Sun,1000P-1200A,HGTV,0.3,,0.4,,,,,,,,,,,2,,,
Suddenlink - Deridder 3175,,Mon-Sun,1000P-1200A,LIF,0.2,,0.4,,,,,,,,,,,3,,,
Suddenlink - Deridder 3175,,Mon-Sun,1000P-1200A,TBS,0.4,,0.3,,,,,,,,,,,2,,,
Suddenlink - Deridder 3175,,Mon-Sun,1000P-1200A,TLC,0.3,,0.4,,,,,,,,,,,2,,,
Suddenlink - Deridder 3175,,Mon-Sun,1000P-1200A,TNT,0.7,,0.4,,,,,,,,,,,2,,,
Suddenlink - Deridder 3175,,Mon-Sun,1000P-1200A,TWC,0.1,,0.1,,,,,,,,,,,2,,,
Suddenlink - Deridder 3175,,Mon-Sun,1000P-1200A,USA,0.5,,0.5,,,,,,,,,,,2,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0600A-0900A,AEN,,,,,,,,,,,,,,10,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0600A-0900A,BET,0.1,,0.2,,,,,,,,,,,10,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0600A-0900A,BRVO,,,,,,,,,,,,,,10,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0600A-0900A,CNN,0.3,,0.3,,,,,,,,,,,20,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0600A-0900A,ESPN,0.3,,0,,,,,,,,,,,22,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0600A-0900A,FAM,0,,0,,,,,,,,,,,3,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0600A-0900A,FOOD,,,,,,,,,,,,,,6,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0600A-0900A,FXNC,2.1,,1.8,,,,,,,,,,,20,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0600A-0900A,HGTV,,,,,,,,,,,,,,12,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0600A-0900A,LIF,,,,,,,,,,,,,,10,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0600A-0900A,TBS,0.3,,0.3,,,,,,,,,,,10,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0600A-0900A,TLC,,,,,,,,,,,,,,8,,,
