Vendor,Cable Zone,D of W,Time,Program Name,Rating P25+,Rating P35+,Rating W35+,Imp P25+,Imp W35+,Share P25+,PUT P25+,Share P35+,PUT P35+,Rate 1,Rate 2,Rate 3,Rate 4,Rate 5,Comments,Start Date,End Date
WWL,,U,0800A-0930A,CBS Sunday Morning,,2.8,,,,,,9,30.8,,,,,200,,10/5/14,12/28/14
WWL,,U,0930A-1030A,Face the Nation,,1.9,,,,,,5.9,32.9,,,,,125,,10/5/14,12/28/14
WWL,,M-R,0305A-0430A,CBS Up to the Minute,,0.5,,,,,,5.3,9.2,,,,,25,,10/1/14,12/31/14
WWL,,Mon-Fri,0900A-1000A,Live with Kelly & Michael,,3.7,,,,,,15.2,24.3,,,,,200,,10/1/14,12/31/14
WWL,,Mon-Fri,1000A-1100A,Price is Right,,5.3,,,,,,20.9,25.5,,,,,375,,10/1/14,12/31/14
WWL,,Mon-Fri,1100A-1200P,Young & the Restless,,7.4,,,,,,27.4,27,,,,,325,,10/1/14,12/31/14
WWL,,Mon-Fri,1200P-1230P,Eyewitness Noon News,,7.7,,,,,,28.1,27.3,,,,,575,,10/1/14,12/31/14
WWL,,Mon-Fri,1230P-0100P,Bold & Beautiful,,5.9,,,,,,21.5,27.6,,,,,375,,10/1/14,12/31/14
WWL,,Mon-Fri,0100P-0200P,The Talk,,3.7,,,,,,13.9,26.9,,,,,375,,10/1/14,12/31/14
WWL,,Mon-Fri,0200P-0300P,Let`s Make a Deal,,2.9,,,,,,10.3,28.3,,,,,250,,10/1/14,12/31/14
WWL,,Mon-Fri,0300P-0400P,Dr. Oz,,2.7,,,,,,8.8,31.2,,,,,250,,10/1/14,12/31/14
WWL,,Mon-Fri,0400P-0500P,Dr. Phil,,4.2,,,,,,11.1,37.6,,,,,275,,10/1/14,12/31/14
WWL,,Mon-Fri,0500P-0530P,Eyewitness News @ 5PM,,9.1,,,,,,19.9,45.6,,,,,725,,10/1/14,12/31/14
WWL,,Mon-Fri,0600P-0630P,Eyewitness News @ 6PM,,8.7,,,,,,17,51.4,,,,,800,,10/1/14,12/31/14
WWL,,A,0500P-0530P,Eyewitness News @ 5PM,,10.7,,,,,,22.6,47.5,,,,,175,,10/4/14,12/27/14
WWL,,A,0600P-0630P,Eyewitness News @ 6PM,,14.8,,,,,,29.4,50.4,,,,,350,,10/4/14,12/27/14
WWL,,U,0530P-0600P,Eyewitness News @ 5:30PM,,7.3,,,,,,12.7,56.9,,,,,175,,10/5/14,12/28/14
WWL,,Mon-Fri,0630P-0700P,Inside Edition,,7.4,,,,,,13.5,55.1,,,,,625,,10/1/14,12/31/14
WWL,,A,0630P-0700P,Insider Weekend,,10.5,,,,,,20,52.6,,,,,300,,10/4/14,12/27/14
WWL,,M,0700P-0800P,Big Bang Theory/MOM,,9.3,,,,,,12.7,72.8,,,,,1100,,10/6/14,12/29/14
