Vendor,Station,D of W,Time,Length,Rate,Comments,Start Date,End Date
Cumulus Media,KAOK 1400 AM,Mon-Fri,0600A-1000A,30,10,,8/26/14,9/1/15
Cumulus Media,KAOK 1400 AM,Mon-Fri,1000A-0300P,30,10,,8/26/14,9/1/15
Cumulus Media,KAOK 1400 AM,Mon-Fri,0300P-0700P,30,10,,8/26/14,9/1/15
Cumulus Media,KAOK 1400 AM,Mon-Fri,0700P-1200A,30,4,,8/26/14,9/1/15
Cumulus Media,KAOK 1400 AM,Mon-Fri,0600A-0700P,30,10,,8/26/14,9/1/15
Cumulus Media,KAOK 1400 AM,A,0600A-0700P,30,10,,8/26/14,9/1/15
Cumulus Media,KAOK 1400 AM,A,0600A-1000A,30,8,,8/26/14,9/1/15
Cumulus Media,KAOK 1400 AM,A,1000A-0300P,30,8,,8/26/14,9/1/15
Cumulus Media,KAOK 1400 AM,A,0300P-0700P,30,8,,8/26/14,9/1/15
Cumulus Media,KAOK 1400 AM,A,0700P-1200A,30,5,,8/26/14,9/1/15
Cumulus Media,KAOK 1400 AM,U,0600A-0700P,30,8,,8/26/14,9/1/15
Cumulus Media,KAOK 1400 AM,U,0600A-1000A,30,8,,8/26/14,9/1/15
Cumulus Media,KAOK 1400 AM,U,1000A-0300P,30,8,,8/26/14,9/1/15
Cumulus Media,KAOK 1400 AM,U,0300P-0700P,30,8,,8/26/14,9/1/15
Cumulus Media,KAOK 1400 AM,U,0700P-1200A,30,2,,8/26/14,9/1/15
Cumulus Media,KAOK 1400 AM,Mon-Fri,0600A-1000A,60,10,,8/26/14,9/1/15
Cumulus Media,KAOK 1400 AM,Mon-Fri,1000A-0300P,60,10,,8/26/14,9/1/15
Cumulus Media,KAOK 1400 AM,Mon-Fri,0300P-0700P,60,10,,8/26/14,9/1/15
Cumulus Media,KAOK 1400 AM,Mon-Fri,0700P-1200A,60,4,,8/26/14,9/1/15
Cumulus Media,KAOK 1400 AM,Mon-Fri,0600A-0700P,60,10,,8/26/14,9/1/15
Cumulus Media,KAOK 1400 AM,A,0600A-0700P,60,10,,8/26/14,9/1/15
Cumulus Media,KAOK 1400 AM,A,0600A-1000A,60,8,,8/26/14,9/1/15
Cumulus Media,KAOK 1400 AM,A,1000A-0300P,60,8,,8/26/14,9/1/15
Cumulus Media,KAOK 1400 AM,A,0300P-0700P,60,8,,8/26/14,9/1/15
Cumulus Media,KAOK 1400 AM,A,0700P-1200A,60,5,,8/26/14,9/1/15
Cumulus Media,KAOK 1400 AM,U,0600A-0700P,60,8,,8/26/14,9/1/15
Cumulus Media,KAOK 1400 AM,U,0600A-1000A,60,8,,8/26/14,9/1/15
Cumulus Media,KAOK 1400 AM,U,1000A-0300P,60,8,,8/26/14,9/1/15
Cumulus Media,KAOK 1400 AM,U,0300P-0700P,60,8,,8/26/14,9/1/15
Cumulus Media,KAOK 1400 AM,U,0700P-1200A,60,2,,8/26/14,9/1/15
KSIG,KSIG 106.7 FM.AM,Mon-Sat,0600A-0700P,30,12,Net rate/,8/26/14,9/1/15
KSIG,KSIG 106.7 FM.AM,Mon-Sat,0600A-0700P,60,16,Net rate/,8/26/14,9/1/15
KYBG,KYBG 102.1 FM,Mon-Sat,0600A-0700P,30,22,Net rate/,8/26/14,9/1/15
KYBG,KYBG 102.1 FM,Mon-Sat,0600A-0700P,60,26,Net rate/,8/26/14,9/1/15
KJCB,KJCB 770 AM,Mon-Sun,0600A-1200A,30,19,,8/26/14,9/1/15
KJCB,KJCB 770 AM,Mon-Sun,0600A-1200A,60,21,,8/26/14,9/1/15
KJCB,KJCB 770 AM,Mon-Sun,0600A-1000A,30,21,,8/26/14,9/1/15
KJCB,KJCB 770 AM,Mon-Sun,0300P-0700P,30,21,,8/26/14,9/1/15
KJCB,KJCB 770 AM,Mon-Sun,0600A-1000A,60,26,,8/26/14,9/1/15
KJCB,KJCB 770 AM,Mon-Sun,0300P-0700P,60,26,,8/26/14,9/1/15
,0,,,,,,,
